"","iso_code","continent","location","date","diabetes_prevalence","cardiovasc_death_rate","total_deaths","total_cases","population_density","median_age"
"117","NLD","Europe","Netherlands","2023-04-12",5.29,109.361,22992,8610372,508.544,43.2
"118","NZL","Oceania","New Zealand","2023-04-12",8.08,128.797,2687,2217047,18.206,37.9
"119","NIC","North America","Nicaragua","2023-04-12",11.47,137.016,245,15682,51.667,27.3
"120","NER","Africa","Niger","2023-04-12",2.42,238.339,315,9513,16.955,15.1
"121","NGA","Africa","Nigeria","2023-04-12",2.42,181.013,3155,266675,209.588,18.1
"122","MKD","Europe","North Macedonia","2023-04-12",10.08,322.688,9667,347672,82.6,39.1
"123","NOR","Europe","Norway","2023-04-12",5.31,114.316,5311,1481760,14.462,39.7
"124","OMN","Asia","Oman","2023-04-12",12.61,266.342,4628,399449,14.98,30.7
"125","PAK","Asia","Pakistan","2023-04-12",8.35,423.031,30652,1580021,255.573,23.5
"126","PSE","Asia","Palestine","2023-04-12",10.59,265.91,5708,703228,778.202,20.4
"127","PAN","North America","Panama","2023-04-12",8.33,128.346,8612,1033781,55.133,29.7
"128","PNG","Oceania","Papua New Guinea","2023-04-12",17.65,561.494,670,46837,18.22,22.6
"129","PRY","South America","Paraguay","2023-04-12",8.27,199.128,19880,735759,17.144,26.5
"130","PER","South America","Peru","2023-04-12",5.95,85.755,219866,4492891,25.129,29.1
"131","PHL","Asia","Philippines","2023-04-12",7.07,370.437,66420,4083678,351.873,25.2
"132","POL","Europe","Poland","2023-04-12",5.91,227.331,119423,6504340,124.027,41.8
"133","PRT","Europe","Portugal","2023-04-12",9.85,127.842,26480,5577825,112.371,46.2
"134","PRI","North America","Puerto Rico","2023-04-12",12.9,108.094,5867,1110017,376.232,38.2
"135","QAT","Asia","Qatar","2023-04-12",16.52,176.69,688,502436,227.322,31.9
"136","ROU","Europe","Romania","2023-04-12",9.74,370.946,67961,3380891,85.129,43
"137","RUS","Europe","Russia","2023-04-12",6.18,431.297,397642,22727542,8.823,39.6
"138","RWA","Africa","Rwanda","2023-04-12",4.28,191.375,1468,133194,494.869,20.3
"139","LCA","North America","Saint Lucia","2023-04-12",11.62,204.62,409,30028,293.187,34.9
"140","VCT","North America","Saint Vincent and the Grenadines","2023-04-12",11.62,252.675,124,9601,281.787,31.8
"141","WSM","Oceania","Samoa","2023-04-12",9.21,348.977,31,16675,69.413,22
