"","location_key","life_expectancy","smoking_prevalence","diabetes_prevalence","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","pollution_mortality_rate","comorbidity_mortality_rate","hospital_beds_per_1000","nurses_per_1000","physicians_per_1000","health_expenditure_usd","out_of_pocket_health_expenditure_usd"
"905","US_GA_13195",75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","US_GA_13197",76.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","US_GA_13199",74.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908","US_GA_13201",76.233333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","US_GA_13205",75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","US_GA_13207",77.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","US_GA_13209",77.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","US_GA_13211",76.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","US_GA_13213",74.6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","US_GA_13215",74.495833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","US_GA_13217",75.761538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","US_GA_13219",80.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917","US_GA_13221",76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","US_GA_13223",77.19375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","US_GA_13225",75.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","US_GA_13227",77.266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","US_GA_13229",75.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922","US_GA_13231",77.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","US_GA_13233",73.728571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","US_GA_13235",74.733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","US_GA_13237",75.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","US_GA_13239",77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","US_GA_13241",78.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","US_GA_13243",75.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","US_GA_13245",73.714634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930","US_GA_13247",77.673333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","US_GA_13249",77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","US_GA_13251",75.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","US_GA_13253",73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","US_GA_13255",73.558333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","US_GA_13257",73.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","US_GA_13259",76.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","US_GA_13261",75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","US_GA_13263",74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","US_GA_13265",75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","US_GA_13267",74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","US_GA_13269",74.533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","US_GA_13271",78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"943","US_GA_13273",74.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","US_GA_13275",75.327273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","US_GA_13277",75.922222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","US_GA_13279",74.366667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","US_GA_13281",79.633333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","US_GA_13283",76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","US_GA_13285",75.914286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","US_GA_13287",74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","US_GA_13289",74.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952","US_GA_13291",77.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","US_GA_13293",73.071429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","US_GA_13295",75.415385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","US_GA_13297",76.553333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956","US_GA_13299",72.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","US_GA_13301",71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","US_GA_13303",77.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","US_GA_13305",74.583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"960","US_GA_13307",77.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"961","US_GA_13309",77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"962","US_GA_13311",78.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"963","US_GA_13313",77.594444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"964","US_GA_13315",73.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965","US_GA_13317",75.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","US_GA_13319",74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","US_GA_13321",74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968","US_GA_ATL",313.563536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"969","US_GU",79.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"970","US_HI",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","US_HI_15001",80.730303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","US_HI_15003",81.294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","US_HI_15007",84.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974","US_HI_15009",80.881818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975","US_IA",79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"976","US_IA_19001",78.133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","US_IA_19003",78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978","US_IA_19005",79.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979","US_IA_19007",76.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"980","US_IA_19009",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"981","US_IA_19011",80.771429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","US_IA_19013",77.952941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"983","US_IA_19015",80.457143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","US_IA_19017",81.0375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","US_IA_19019",79.066667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","US_IA_19021",80.116667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","US_IA_19023",79.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","US_IA_19025",78.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","US_IA_19027",80.133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990","US_IA_19029",77.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"991","US_IA_19031",82.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","US_IA_19033",80.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"993","US_IA_19035",80.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994","US_IA_19037",81.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"995","US_IA_19039",78.033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"996","US_IA_19041",80.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"997","US_IA_19043",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"998","US_IA_19045",77.908333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999","US_IA_19047",78.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000","US_IA_19049",81.526667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1001","US_IA_19051",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1002","US_IA_19053",78.733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003","US_IA_19055",78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004","US_IA_19057",78.481818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005","US_IA_19059",79.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006","US_IA_19061",79.007692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007","US_IA_19063",77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1008","US_IA_19065",78.414286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009","US_IA_19067",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010","US_IA_19069",81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011","US_IA_19071",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","US_IA_19073",78.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013","US_IA_19075",80.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014","US_IA_19077",80.433333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015","US_IA_19079",80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016","US_IA_19081",79.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017","US_IA_19083",80.033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1018","US_IA_19085",77.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1019","US_IA_19087",79.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020","US_IA_19089",78.566667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021","US_IA_19091",81.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1022","US_IA_19093",79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023","US_IA_19095",79.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024","US_IA_19097",78.683333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025","US_IA_19099",79.044444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026","US_IA_19101",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1027","US_IA_19103",82.142105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028","US_IA_19105",80.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1029","US_IA_19107",79.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030","US_IA_19109",79.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031","US_IA_19111",76.927273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","US_IA_19113",79.329545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033","US_IA_19115",80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034","US_IA_19117",77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035","US_IA_19119",81.066667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036","US_IA_19121",80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037","US_IA_19123",78.228571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","US_IA_19125",78.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039","US_IA_19127",79.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040","US_IA_19129",76.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","US_IA_19131",81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042","US_IA_19133",75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043","US_IA_19135",76.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044","US_IA_19137",77.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","US_IA_19139",80.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046","US_IA_19141",78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","US_IA_19143",82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048","US_IA_19145",78.883333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049","US_IA_19147",78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050","US_IA_19149",80.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051","US_IA_19151",77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052","US_IA_19153",78.432609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053","US_IA_19155",78.573333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","US_IA_19157",79.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055","US_IA_19159",75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056","US_IA_19161",79.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057","US_IA_19163",78.368085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058","US_IA_19165",79.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059","US_IA_19167",82.171429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","US_IA_19169",81.092308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061","US_IA_19171",79.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062","US_IA_19173",78.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063","US_IA_19175",77.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064","US_IA_19177",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065","US_IA_19179",77.309091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1066","US_IA_19181",79.716667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1067","US_IA_19183",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","US_IA_19185",78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069","US_IA_19187",76.508333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070","US_IA_19189",80.633333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071","US_IA_19191",82.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072","US_IA_19193",77.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1073","US_IA_19195",78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074","US_IA_19197",79.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075","US_ID",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","US_ID_16001",79.915254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","US_ID_16003",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078","US_ID_16005",76.927778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","US_ID_16007",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","US_ID_16009",75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081","US_ID_16011",78.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082","US_ID_16013",82.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083","US_ID_16015",81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084","US_ID_16017",78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085","US_ID_16019",78.795238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086","US_ID_16021",80.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087","US_ID_16023",78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088","US_ID_16025",78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","US_ID_16027",78.086207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090","US_ID_16029",77.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091","US_ID_16031",78.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092","US_ID_16035",76.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093","US_ID_16037",87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","US_ID_16039",77.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","US_ID_16041",80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","US_ID_16043",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","US_ID_16045",77.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","US_ID_16047",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","US_ID_16049",79.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","US_ID_16051",80.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","US_ID_16053",78.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","US_ID_16055",79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","US_ID_16057",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","US_ID_16059",79.133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","US_ID_16061",81.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","US_ID_16063",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107","US_ID_16065",79.166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","US_ID_16067",79.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","US_ID_16069",78.233333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","US_ID_16071",81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111","US_ID_16073",80.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112","US_ID_16075",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113","US_ID_16077",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","US_ID_16079",80.966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115","US_ID_16081",85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116","US_ID_16083",77.353846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","US_ID_16085",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118","US_ID_16087",78.533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1119","US_IL",78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","US_IL_17001",77.455556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121","US_IL_17003",74.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","US_IL_17005",77.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1123","US_IL_17007",78.342857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1124","US_IL_17009",75.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1125","US_IL_17011",80.577778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126","US_IL_17013",82.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","US_IL_17015",78.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128","US_IL_17017",76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129","US_IL_17019",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","US_IL_17021",76.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","US_IL_17023",76.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","US_IL_17025",76.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","US_IL_17027",79.8375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","US_IL_17029",77.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","US_IL_17031",77.82825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","US_IL_17033",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137","US_IL_17035",78.266667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","US_IL_17037",80.226316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","US_IL_17039",78.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140","US_IL_17041",79.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","US_IL_17043",81.28995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","US_IL_17045",76.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","US_IL_17047",78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","US_IL_17049",77.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","US_IL_17051",79.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","US_IL_17053",77.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","US_IL_17055",75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","US_IL_17057",77.754545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","US_IL_17059",73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150","US_IL_17061",76.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","US_IL_17063",78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","US_IL_17065",77.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","US_IL_17067",81.542857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","US_IL_17069",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","US_IL_17071",80.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156","US_IL_17073",78.753846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","US_IL_17075",77.766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","US_IL_17077",76.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","US_IL_17079",78.633333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","US_IL_17081",75.981818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","US_IL_17083",77.083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","US_IL_17085",80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","US_IL_17087",77.433333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","US_IL_17089",80.26125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","US_IL_17091",77.489655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166","US_IL_17093",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","US_IL_17095",76.273333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","US_IL_17097",80.17972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","US_IL_17099",77.353571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","US_IL_17101",72.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
