"","location_key","life_expectancy","smoking_prevalence","diabetes_prevalence","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","pollution_mortality_rate","comorbidity_mortality_rate","hospital_beds_per_1000","nurses_per_1000","physicians_per_1000","health_expenditure_usd","out_of_pocket_health_expenditure_usd"
"57","CA_ON",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CA_QC",82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CA_SK",80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CD",60.368,NA,6,68.2,273.573,224.637,163.9,19.4,NA,1.1101,0.074,19.431646,7.796894
"61","CF",52.805,NA,6,84.5,452.968,371.323,211.9,23.1,NA,0.2063,0.0721,24.150055,7.532184
"62","CG",64.29,26.9,6,36.2,279.572,240.201,130.7,16.7,NA,0.6271,NA,49.983723,24.192739
"63","CH",83.8,25.7,5.7,3.7,58.204,35.896,10.1,8.6,NA,17.5357,4.2957,9956.259766,2882.037109
"64","CH_AG",83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CH_AI",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CH_AR",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CH_BE",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CH_BL",83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CH_BS",83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CH_FR",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CH_GE",84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CH_GL",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CH_GR",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CH_JU",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CH_LU",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CH_NE",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","CH_NW",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","CH_OW",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","CH_SG",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","CH_SH",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CH_SO",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CH_SZ",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","CH_TG",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","CH_TI",85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","CH_UR",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CH_VD",84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","CH_VS",84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","CH_ZG",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","CH_ZH",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","CI",57.422,NA,2.4,59.4,360.552,325.098,269.1,29.1,NA,0.6048,NA,69.749245,27.453821
"91","CL",80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,NA,13.3248,2.5912,1381.986206,463.437714
"92","CM",58.921,NA,6,50.6,317.692,281.332,208.1,21.6,NA,NA,NA,67.811813,48.117634
"93","CN",76.704,25.6,9.2,7.4,93.777,60.272,112.7,17,NA,2.6621,1.9798,440.825623,158.919449
"94","CO",77.109,9,7.4,12.2,151.616,77.999,37,15.8,NA,1.3309,2.1848,459.197571,74.887901
"95","CR",80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845
"96","CU",78.726,35.2,9.6,3.7,113.198,73.993,49.5,16.4,NA,7.5614,8.4218,987.627014,103.529617
"97","CV",72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,NA,1.2983,0.7814,167.589615,48.427498
"98","CW",78.017073,NA,11.6,NA,130.145,63.365,NA,NA,NA,NA,NA,NA,NA
"99","CY",82.9,36.4,9,1.9,64.711,32.883,20.1,11.3,NA,5.2512,1.9509,1731.694458,772.890503
"100","CZ",79.1,34.3,7,2.7,108.785,51.325,29.6,15,6.5,8.3955,4.1208,1475.915161,218.569794
"101","CZ_10",80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","CZ_20",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","CZ_31",79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","CZ_32",79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","CZ_41",77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","CZ_42",77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","CZ_51",79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","CZ_52",79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","CZ_53",79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","CZ_63",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","CZ_64",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","CZ_71",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","CZ_72",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","CZ_80",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","DE",81,30.6,10.4,3.1,86.511,48.026,16,12.1,NA,13.2352,4.2488,5033.452148,637.885254
"116","DE_BB",80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","DE_BE",80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","DE_BW",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","DE_BY",81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","DE_HB",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","DE_HE",81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","DE_HH",81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","DE_MV",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","DE_NI",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","DE_NW",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","DE_RP",80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","DE_SH",80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","DE_SL",79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","DE_SN",80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","DE_ST",79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","DE_TH",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","DJ",66.582,13.1,5.1,49.8,232.137,178.345,159,19.6,NA,NA,NA,70.330894,18.640654
"133","DK",81,19.1,8.3,3.6,82.426,51.652,13.2,11.3,2.5,10.3195,4.0099,5800.151367,796.851868
"134","DM",76.59756,NA,11.6,32.9,NA,NA,NA,NA,NA,6.4385,1.1189,439.594452,136.076263
"135","DO",73.892,13.7,8.6,24.1,197.349,114.55,43,19,NA,1.3802,1.56,433.208588,193.809692
"136","DZ",76.693,15.6,6.7,20.1,102.851,80.672,49.7,14.2,1.9,1.5477,1.7193,258.494293,84.136894
"137","EC",76.8,7.1,5.5,12.2,161.14,88.072,24.5,13,NA,2.5059,2.0368,518.029602,204.095932
"138","EE",78.5,31.3,4.2,2.1,154.542,56.077,25,17,5,11.1558,4.4833,1300.481689,307.754089
"139","EG",71.825,25.2,17.2,18.1,182.7,105.456,108.9,27.7,NA,1.9262,0.4521,105.768456,63.548351
