"Country" "Total.Cases" "New.Cases" "Total.Deaths" "New.Deaths" "Total.Recovered" "New.Recovered" "Active.Cases" "Serious..Critical" "Tot.Cases.1M.pop" "Deaths.1M.pop" "Total.Tests" "Tests.1M.pop" "Population"
"Norway" 849389 NA 1.467 NA 88952 NA 758970 48 154.754 267 9852076 1794999 5488625
"Slovenia" 774584 11.656 5.933 21 573621 9844 195030 133 372.505 2.853 2520743 1212250 2079392
"Belarus" 760845 7.35 6.116 17 749595 1114 5134 NA 80.561 648 11870801 1256917 9444381
"Ecuador" 739297 NA 34.572 NA NA NA NA 759 40.916 1.913 2470170 136710 18068721
"Lithuania" 727169 12.294 7.952 13 617747 8277 101470 92 273.178 2.987 7357070 2763855 2661887
"Panama" 717171 NA 7.788 NA 653184 NA 56199 35 162.157 1.761 5267010 1190909 4422682
"Costa Rica" 715749 NA 7.621 NA 578848 NA 129280 125 138.495 1.475 3324431 643265 5168056
"Saudi Arabia" 702624 3.555 8.95 3 657995 4023 35679 1.042 19.695 251 38442632 1077570 35675286
"Guatemala" 702310 NA 16.446 NA 643375 NA 42489 5 38.082 892 3633506 197023 18441994
"Uruguay" 700511 NA 6.579 NA 627307 NA 66625 157 200.555 1.884 5303071 1518256 3492870
"Azerbaijan" 683476 7.05 8.823 26 637429 3435 37224 NA 66.457 858 6227883 605564 10284439
"Sri Lanka" 615902 1.243 15.544 29 580220 440 20138 NA 28.572 721 6155804 285573 21555989
"Paraguay" 598170 NA 17.476 NA 515970 NA 64724 207 82.259 2.403 2392350 328991 7271771
"Kuwait" 564735 NA 2.503 NA 507174 NA 55058 89 129.203 573 7018332 1605687 4370922
"Dominican Republic" 558936 NA 4.315 NA 549219 NA 5402 155 50.716 392 2973479 269806 11020810
"Myanmar" 537223 319 19.31 NA 513779 117 4134 NA 9.77 351 6469724 117654 54989637
"Palestine" 515499 NA 4.865 NA 451681 NA 58953 88 97.453 920 2958990 559385 5289716
"Finland" 514892 6.952 2.058 17 46000 NA 466834 37 92.7 371 9531275 1715985 5554405
"Venezuela" 491016 NA 5.469 NA 468534 NA 17013 230 17.346 193 3359014 118660 28307827
"Ethiopia" 466126 NA 7.353 NA 400013 NA 58760 237 3.901 62 4367909 36556 119484712
"Moldova" 455095 NA 10.718 NA 392995 NA 51382 224 113.234 2.667 2774700 690386 4019055
"Mongolia" 447464 694 2.117 1 313256 NA 132091 192 133.088 630 4030048 1198647 3362165
"Libya" 445876 3.917 6.052 8 397291 1615 42533 133 63.517 862 2261656 322184 7019767
"Egypt" 432761 NA 22.78 NA 364528 NA 45453 122 4.106 216 3693367 35041 105400234
"Latvia" 432370 10.137 4.934 11 320217 5963 107219 76 233.33 2.663 6205504 3348829 1853037
"Bahrain" 398665 NA 1.41 NA 341855 NA 55400 23 222.047 785 8873645 4942417 1795406
"Honduras" 391874 NA 10.504 NA 127038 NA 254332 105 38.59 1.034 1189896 117175 10154885
"Armenia" 383458 4.192 8.075 10 346224 2510 29159 NA 129.021 2.717 2762988 929658 2972049
"Singapore" 366473 NA 860 NA 347231 NA 18382 9 61.868 145 22779662 3845655 5923480
"Estonia" 366089 8.004 2.047 NA 273196 3690 90846 14 275.679 1.541 2879688 2168517 1327953
"Bosnia and Herzegovina" 354325 1.188 14.672 69 192218 NA 147435 NA 109.078 4.517 1643253 505870 3248369
"Oman" 346041 NA 4.158 NA 319220 NA 22663 56 65.133 783 2.5e+07 4705606 5312812
"Qatar" 343808 997 652 1 327539 2913 15617 50 122.447 232 3317441 1181507 2807805
"Kenya" 321922 158 5.604 NA 295580 46 20738 11 5.785 101 3247589 58355 55652189
"Zambia" 306777 430 3.928 3 299726 532 3123 58 15.977 205 3198039 166554 19201165
"North Macedonia" 274144 NA 8.494 NA 251688 NA 13962 NA 131.595 4.077 1803508 865723 2083238
"Cyprus" 265945 NA 736 NA 124370 NA 140839 60 217.75 603 9477138 7759687 1221330
"Albania" 262271 NA 3.369 NA 242445 NA 16457 23 91.295 1.173 1637312 569936 2872801
"Botswana" 256041 NA 2.585 NA 248771 NA 4685 1 105.495 1.065 2026898 835132 2427040
"Algeria" 255836 NA 6.618 NA 169972 NA 79246 40 5.672 147 230861 5118 45108886
"Nigeria" 253405 NA 3.136 NA 229676 NA 20593 11 1.183 15 4116369 19213 214251250
"Zimbabwe" 230170 NA 5.357 NA 220355 NA 4458 12 15.136 352 1999044 131458 15206709
"Uzbekistan" 226997 961 1.579 4 211274 348 14144 23 6.63 46 1377915 40243 34239932
"Réunion" 226005 NA 531 NA 165236 NA 60238 60 249.6 586 1424291 1572987 905469
"Mozambique" 224143 NA 2.18 NA 215487 NA 6476 13 6.866 67 1231840 37734 32645346
"Montenegro" 221902 NA 2.591 NA 213951 NA 5360 60 353.239 4.125 1122782 1787323 628192
"Kyrgyzstan" 199164 202 2.896 3 189983 591 6285 131 29.747 433 1907195 284860 6695201
"Afghanistan" 165358 404 7.42 NA 146801 33 11137 1.124 4.101 184 862143 21382 40320514
"Luxembourg" 163980 NA 956 NA 130670 NA 32354 12 255.358 1.489 3997645 6225329 642158
"Uganda" 162136 87 3.549 6 99379 22 59208 177 3.375 74 2368066 49301 48033233
"Ghana" 157220 NA 1.404 NA 154424 NA 1392 5 4.897 44 2241487 69822 32103042
"Namibia" 156187 87 3.974 1 146174 60 6039 9 59.75 1.52 926848 354571 2614001
"Maldives" 145036 NA 280 NA 127330 NA 17426 25 261.012 504 2081485 3745915 555668
"Laos" 135660 359 562 4 7660 NA 127438 NA 18.226 76 974775 130960 7443312
"El Salvador" 135109 NA 3.921 NA 120327 NA 10861 56 20.664 600 1627890 248980 6538235
"Rwanda" 129039 NA 1.444 NA 45522 NA 82073 3 9.585 107 4532257 336671 13461967
"Jamaica" 125250 NA 2.677 NA 70614 NA 51959 25 42.006 898 802621 269181 2981715
"Cambodia" 121550 66 3.015 NA 117918 98 617 NA 7.114 176 2803413 164071 17086633
"Cameroon" 116718 NA 1.88 NA 106050 NA 8788 13 4.23 68 1751774 63482 27594960
"Guadeloupe" 113966 NA 795 NA 2250 NA 110921 21 284.749 1.986 830521 2075094 400233
"Trinidad and Tobago" 113317 NA 3.433 NA 84292 NA 25592 22 80.556 2.44 556920 395907 1406693
"China" 106270 29 4.636 NA 99961 97 1673 6 74 3 1.6e+08 111163 1439323776
"Angola" 98319 NA 1.896 NA 95659 NA 764 2 2.851 55 1387659 40235 34488631
"Martinique" 92796 NA 841 NA 104 NA 91851 33 247.587 2.244 602739 1608153 374802
"DRC" 85510 NA 1.278 NA 50930 NA 33302 NA 911 14 846704 9019 93882438
"Senegal" 85143 26 1.953 3 81372 230 1818 10 4.881 112 984448 56434 17444378
"Malawi" 84693 NA 2.565 NA 70133 NA 11995 67 4.253 129 531537 26691 19914705
"Ivory Coast" 80783 NA 785 NA 78209 NA 1789 NA 2.947 29 1360355 49620 27415338
"French Guiana" 76399 NA 381 NA 11254 NA 64764 14 245.678 1.225 571213 1836863 310972
"Suriname" 74858 388 1.274 3 49281 2 24303 11 125.815 2.141 218219 366763 594987
"Iceland" 73530 1.214 49 2 63109 1505 10372 3 213.276 142 1622222 4705311 344764
"Malta" 68647 214 560 1 65000 280 3087 5 154.815 1.263 1211456 2732117 443413
"Eswatini" 68505 NA 1.376 NA 66836 NA 293 11 58.092 1.167 459840 389941 1179256
"Fiji" 63274 68 811 2 60615 127 1848 NA 69.779 894 492980 543665 906771
"Guyana" 60676 NA 1.176 NA 53600 NA 5900 11 76.554 1.484 511981 645963 792586
"Madagascar" 59319 NA 1.274 NA 53582 NA 4463 224 2.058 44 370597 12859 28821154
"Sudan" 58874 NA 3.588 NA 40329 NA 14957 NA 1.295 79 562941 12379 45474907
"Mauritania" 58381 NA 962 NA 56026 NA 1393 30 12.053 199 694917 143469 4843674
"Cabo Verde" 55754 NA 396 NA 55015 NA 343 23 98.578 700 400982 708970 565584
"Belize" 53198 NA 629 NA 44945 NA 7624 4 130.039 1.538 468914 1146226 409094
"Syria" 51656 NA 2.998 NA 39588 NA 9070 NA 2.842 165 146269 8048 18175650
"French Polynesia" 48731 NA 636 NA NA NA NA 7 171.897 2.243 NA NA 283489
"Gabon" 47148 NA 301 NA 42468 NA 4379 7 20.418 130 1545584 669338 2309123
"Barbados" 46506 NA 283 NA 34993 NA 11230 NA 161.516 983 544883 1892389 287934
"Channel Islands" 43452 NA 135 NA 39820 NA 3497 NA 246.313 765 1189402 6742260 176410
"Seychelles" 37771 NA 154 NA 35517 NA 2100 NA 380.315 1.551 NA NA 99315
"Burundi" 37562 93 38 NA 773 NA 36751 NA 3.016 3 345742 27764 12452819
"Curaçao" 37526 NA 242 NA 35835 NA 1449 3 227.21 1.465 455459 2757683 165160
"Papua New Guinea" 37390 NA 597 NA 35938 NA 855 7 4.057 65 249149 27034 9216228
"Togo" 36550 NA 268 NA 33345 NA 2937 NA 4.257 31 666544 77624 8586810
"Andorra" 36470 NA 147 NA 33958 NA 2365 14 470.811 1.898 249838 3225298 77462
"Mayotte" 36436 NA 187 NA 2964 NA 33285 NA 128.628 660 176919 624568 283266
"Guinea" 36206 NA 426 NA 32373 NA 3407 49 2.643 31 583463 42594 13698249
"Tanzania" 33230 NA 789 NA NA NA NA 7 532 13 NA NA 62434727
"Aruba" 33200 NA 194 NA 32749 NA 257 9 308.875 1.805 177885 1654944 107487
"Bahamas" 32680 NA 748 NA 24872 NA 7060 9 81.86 1.874 210793 528017 399216
"Lesotho" 32258 NA 694 NA 22054 NA 9510 NA 14.871 320 380776 175534 2169244
"Mali" 30148 NA 715 NA 26678 NA 2755 NA 1.424 34 600153 28340 21176596
"Haiti" 29323 NA 792 NA 24558 NA 3973 NA 2.523 68 132422 11393 11623429
"Mauritius" 26584 158 762 NA 25459 73 363 NA 20.848 598 358675 281286 1275124
"Benin" 26498 NA 163 NA 25506 NA 829 5 2.098 13 604310 47857 12627287
"New Caledonia" 25780 1.289 284 NA 16131 751 9365 25 88.939 980 98964 341420 289860
"Somalia" 25388 NA 1.335 NA 13182 NA 10871 NA 1.53 80 400466 24129 16597029
"Congo" 23705 NA 371 NA 20178 NA 3156 NA 4.134 65 347815 60661 5733729
"Isle of Man" 21810 NA 73 NA 21246 NA 491 NA 254.35 851 150753 1758093 85748
"Faeroe Islands" 21457 NA 19 NA 7693 NA 13745 5 436.491 387 753000 15317954 49158
"Saint Lucia" 21399 NA 333 NA 17358 NA 3708 6 115.695 1.8 127860 691281 184961
"Burkina Faso" 20664 NA 372 NA 20192 NA 100 NA 947 17 244335 11201 21813106
"Timor-Leste" 20240 63 122 NA 19749 3 369 NA 14.901 90 226374 166656 1358332
"Taiwan" 19029 71 851 NA 16918 78 1260 NA 797 36 10554808 441895 23885313
"Nicaragua" 17709 NA 217 NA 4225 NA 13267 NA 2.624 32 NA NA 6749809
"Tajikistan" 17335 NA 124 NA 17175 NA 36 NA 1.755 13 NA NA 9877820
"New Zealand" 17277 272 53 NA 15045 67 2179 NA 3.454 11 6117388 1222964 5002100
"South Sudan" 16820 NA 137 NA 13077 NA 3606 1 1.475 12 324354 28446 11402290
"Brunei" 16691 NA 98 NA 15993 NA 600 1 37.581 221 705356 1588150 444137
"Cayman Islands" 15934 NA 15 NA 8553 NA 7366 6 238.002 224 215963 3225784 66949
"Equatorial Guinea" 15828 NA 182 NA 15425 NA 221 5 10.723 123 273437 185240 1476119
"Djibouti" 15492 NA 189 NA 15255 NA 48 NA 15.326 187 275320 272370 1010829
"Hong Kong" 14584 NA 213 NA 12806 NA 1565 NA 1.921 28 32291326 4252404 7593663
"CAR" 14023 NA 110 NA 6859 NA 7054 2 2.825 22 81294 16379 4963167
"Gibraltar" 13394 NA 101 NA 11840 NA 1453 2 397.743 2.999 493383 14651314 33675
"San Marino" 12884 NA 109 NA 11132 NA 1643 2 378.451 3.202 125140 3675831 34044
"Grenada" 12698 NA 211 NA 11349 NA 1138 NA 112.023 1.861 127920 1128520 113352
"Gambia" 11863 NA 364 NA 11138 NA 361 4 4.699 144 135608 53718 2524431
"Yemen" 11087 NA 2.02 NA 7131 NA 1936 23 359 65 265253 8593 30869120
"Bermuda" 10921 NA 118 NA 10332 NA 471 NA 176.396 1.906 764368 12346040 61912
"Greenland" 10821 NA 6 NA 2761 NA 8054 15 190.086 105 164926 2897149 56927
"Eritrea" 9601 NA 99 NA 9323 NA 179 NA 2.649 27 23693 6537 3624415
"Dominica" 9502 NA 51 NA 8615 NA 836 NA 131.479 706 150179 2078027 72270
"Liechtenstein" 9469 141 74 NA 8942 116 453 4 247.219 1.932 80413 2099447 38302
"Saint Martin" 9439 NA 61 NA 1399 NA 7979 7 237.674 1.536 78366 1973259 39714
"Sint Maarten" 9373 NA 79 NA 8799 NA 495 10 214.731 1.81 62056 1421672 43650
"Niger" 8656 NA 301 NA 8074 NA 281 1 338 12 217740 8507 25596599
"Monaco" 8637 NA 46 NA 8243 NA 348 4 217.644 1.159 54960 1384941 39684
"Comoros" 7870 26 160 NA 7664 6 46 NA 8.754 178 NA NA 899019
"Guinea-Bissau" 7726 NA 156 NA 6757 NA 813 6 3.784 76 119432 58492 2041855
"Sierra Leone" 7625 NA 125 NA NA NA NA NA 926 15 259958 31569 8234623
"Liberia" 7272 NA 290 NA 5747 NA 1235 2 1.386 55 139824 26651 5246432
"Chad" 7155 NA 190 NA 4874 NA 2091 NA 417 11 191341 11141 17173958
"Caribbean Netherlands" 7123 NA 29 NA 6841 NA 253 NA 267.681 1.09 30126 1132131 26610
"Antigua and Barbuda" 6732 NA 127 NA 6318 NA 287 1 67.851 1.28 18901 190500 99218
"St. Vincent Grenadines" 6695 NA 95 NA 5922 NA 678 17 60.045 852 97234 872054 111500
"Sao Tome and Principe" 5907 NA 70 NA 5722 NA 115 NA 26.181 310 29036 128692 225624
"British Virgin Islands" 5839 NA 49 NA NA NA NA 12 191.123 1.604 98247 3215836 30551
"Turks and Caicos" 5770 NA 34 NA 5490 NA 246 4 145.895 860 419792 10614478 39549
"Bhutan" 5720 188 4 NA 3226 NA 2490 NA 7.286 5 1502892 1914241 785111
"Saint Kitts and Nevis" 5467 NA 37 NA 5176 NA 254 1 101.623 688 65141 1210867 53797
"St. Barth" 3435 NA 6 NA NA NA NA NA 346.096 605 56491 5691788 9925
"Anguilla" 2384 NA 8 NA 2341 NA 35 4 156.677 526 51382 3376840 15216
"Solomon Islands" 2357 NA 21 NA 132 NA 2204 5 3.303 29 5117 7170 713628
"Palau" 2115 NA NA NA 850 NA 1265 9 116.011 NA 25288 1387088 18231
"Saint Pierre Miquelon" 953 NA 1 NA 836 NA 116 1 165.768 174 17273 3004523 5749
"Kiribati" 913 NA NA NA NA NA 913 NA 7.462 NA NA NA 122361
"Diamond Princess" 712 NA 13 NA 699 NA 0 NA NA NA NA NA NA
"Wallis and Futuna" 454 NA 7 NA 438 NA 9 NA 41.552 641 20508 1876991 10926
"Montserrat" 163 NA 1 NA 158 NA 4 2 32.62 200 7796 1560136 4997
"Falkland Islands" 89 NA NA NA NA NA NA NA 24.444 NA 8632 2370777 3641
"Macao" 79 NA NA NA 79 NA 0 NA 119 NA 5217 7864 663400
"Samoa" 33 NA NA NA 3 NA 30 NA 165 NA NA NA 200510
"Vatican City" 29 NA NA NA 28 NA 1 NA 36.07 NA NA NA 804
"Western Sahara" 10 NA 1 NA 8 NA 1 NA 16 2 NA NA 620656
"MS Zaandam" 9 NA 2 NA 7 NA 0 NA NA NA NA NA NA
"Vanuatu" 7 NA 1 NA 6 NA 0 NA 22 3 23000 72204 318541
"Marshall Islands" 7 NA NA NA 7 NA 0 NA 117 NA NA NA 59825
"Tonga" 6 NA NA NA 2 NA 4 NA 56 NA NA NA 107599
"Saint Helena" 2 NA NA NA 2 NA 0 NA 328 NA NA NA 6106
"Micronesia" 1 NA NA NA 1 NA 0 NA 9 NA NA NA 116939
